Unidade da Federação;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
11 Rondônia;1685697;1707272;1728214;1748531;1768204;1787279;1805788;1823741;1841142;1857992;1874318;1890155
12 Acre;748616;762631;776463;790101;803513;816687;829619;842290;854691;866811;878654;890220
13 Amazonas;3672969;3740976;3807921;3873743;3938336;4001667;4063614;4124033;4182899;4240210;4295846;4349811
14 Roraima;469943;479073;488072;496936;505665;514229;522636;530879;538963;546891;554663;562288
15 Pará;7751993;7862333;7969654;8073924;8175113;8272724;8366628;8457229;8544639;8628901;8710364;8789130
16 Amapá;702638;718906;734996;750912;766679;782295;797722;812961;828028;842914;857634;872187
17 Tocantins;1439275;1458965;1478164;1496880;1515126;1532902;1550194;1567016;1583391;1599316;1614821;1629925
21 Maranhão;6670977;6734353;6794301;6850884;6904241;6954036;7000229;7043339;7083578;7121156;7156431;7189442
22 Piauí;3158000;3171456;3183404;3193956;3203262;3211411;3218485;3224536;3229651;3233891;3237279;3239829
23 Ceará;8642630;8712413;8779338;8843553;8905225;8964432;9021232;9075744;9128090;9178363;9226629;9272899
24 Rio Grande do Norte;3302061;3338489;3373959;3408510;3442175;3474998;3507003;3538218;3568644;3598288;3627158;3655233
25 Paraíba;3852082;3883822;3914421;3943885;3972202;3999415;4025558;4050662;4074755;4097859;4119993;4141161
26 Pernambuco;9062506;9136697;9208550;9278152;9345603;9410772;9473707;9534634;9593588;9650604;9705888;9759391
27 Alagoas;3256277;3279289;3300935;3321305;3340502;3358527;3375382;3391142;3405893;3419689;3432603;3444654
28 Sergipe;2145945;2171137;2195662;2219574;2242937;2265779;2288116;2309961;2331323;2352207;2372637;2392601
29 Bahia;14865405;14957177;15044137;15126371;15203934;15276566;15344447;15408073;15467527;15522855;15574542;15622585
31 Minas Gerais;20294485;20446840;20593356;20734097;20869101;20997560;21119536;21235870;21346492;21451356;21551426;21646641
32 Espírito Santo;3745577;3792874;3839366;3885049;3929911;3973697;4016356;4058079;4098852;4138657;4177644;4215796
33 Rio de Janeiro;16175495;16273984;16369179;16461173;16550024;16635996;16718956;16798421;16874306;16946541;17014734;17078778
35 São Paulo;42888198;43281358;43663669;44035304;44396484;44749699;45094866;45429330;45752757;46064928;46363573;46648199
41 Paraná;10820421;10910374;10997465;11081692;11163018;11242720;11320892;11396262;11468818;11538518;11604353;11666293
42 Santa Catarina;6446209;6540596;6634254;6727148;6819190;6910553;7001161;7090682;7179056;7266193;7351785;7435729
43 Rio Grande do Sul;11069861;11118261;11164043;11207274;11247972;11286500;11322895;11356804;11388156;11416895;11442766;11465705
50 Mato Grosso do Sul;2520305;2554130;2587269;2619657;2651235;2682386;2713147;2743142;2772343;2800704;2827912;2853969
51 Mato Grosso;3094547;3138822;3182113;3224357;3265486;3305531;3344544;3382487;3419350;3455092;3489729;3523288
52 Goiás;6250462;6343136;6434048;6523222;6610681;6695855;6778772;6860047;6939629;7017496;7094285;7170021
53 Distrito Federal;2664444;2727098;2789761;2852372;2914830;2977216;3039444;3101220;3162452;3223048;3282791;3341579
 ;;;;;;;;;;;;
